test_name,output_lines,ajb_total,timers,states,breakpoints,traces,total_timer_ms,status
ajb_renum_test,290,135,10,40,22,28,0,PASS
gen_co_data,21,12,0,0,0,0,0,PASS
test_bucket_pool,42,30,0,2,0,0,0,PASS
test_bucket_pool_full,21,8,1,5,2,0,0,PASS
test_bucket_pool_upstream,16,0,0,0,0,0,0,PASS
test_count_oracle,25,19,8,0,1,0,0,PASS
test_count_oracle_full,9,6,0,4,2,0,0,PASS
test_count_oracle_upstream,5,2,0,0,1,0,0,PASS
test_enumerator,126,82,14,31,23,12,0,PASS
test_enumerator_full,197,197,31,91,62,12,0,PASS
test_enumerator_upstream,122,75,10,30,23,12,0,PASS
test_index,127,80,13,31,21,12,0,PASS
test_index_full,149,110,11,51,22,18,0.16,PASS
test_index_upstream,112,72,9,30,21,12,0,PASS
test_join_baseline,30,27,10,8,1,1,296.22,PASS
test_join_baseline_full,8,7,2,3,2,0,0,PASS
test_join_baseline_upstream,23,18,1,10,7,0,0,PASS
test_join_tree,138,82,11,35,22,12,0,PASS
test_join_tree_full,151,103,12,45,28,12,0.152,PASS
test_join_tree_upstream,152,79,9,30,28,12,0,PASS
test_main,138,102,11,35,38,13,0.18,PASS
test_rr_access_tree,118,80,13,31,22,12,0,PASS
test_rr_access_tree_full,126,86,11,38,25,12,0,PASS
test_rr_access_tree_upstream,115,74,9,30,23,12,0,PASS
test_unordered_map,13,8,4,1,0,0,0,PASS
test_unordered_map_full,9,7,0,5,2,0,0,PASS
test_unordered_map_upstream,2,0,0,0,0,0,0,PASS
testjoin,24,19,3,8,1,1,302.4,PASS
upper_bound_demo,13,6,0,2,0,0,0,PASS
wash_data,2,2,0,0,0,0,0,PASS
