test_name,status,elapsed_s,elapsed_mean,elapsed_stddev,bp_count,state_count,timer_count,trace_events,hot_phases,errors,diff_files_below_threshold
test_bucket_pool,PASS,0.0031,0.3075,0.6270,0,8,0,0,,,
test_bucket_pool_full,PASS,0.0019,0.3075,0.6270,2,5,1,0,total,,
test_bucket_pool_upstream,PASS,0.0030,0.3075,0.6270,0,0,0,0,,,
test_count_oracle,PASS,0.0509,0.3075,0.6270,6,0,4,0,gen_ranges;range_queries,,
test_count_oracle_full,PASS,0.0811,0.3075,0.6270,7,4,0,0,,,
test_count_oracle_upstream,PASS,0.0734,0.3075,0.6270,6,0,0,0,,,
test_enumerator,PASS,0.0048,0.3075,0.6270,37,42,12,13,[Index] preProcessing;enumerator_init,,
test_enumerator_full,PASS,0.0034,0.3075,0.6270,102,120,31,15,[Index] preProcessing;[JoinTree] total build;[Table] loadFromFile total,,
test_enumerator_upstream,PASS,0.0039,0.3075,0.6270,37,41,10,13,[JoinTree] total build;[Table] loadFromFile total,,
test_index,PASS,0.0425,0.3075,0.6270,33,38,11,13,multi_head_binary_search,,
test_index_full,PASS,1.3457,0.3075,0.6270,34,61,12,19,MHBS,,
test_index_upstream,PASS,1.9543,0.3075,0.6270,33,37,9,13,[Index] preProcessing;[JoinTree] total build;[Table] loadFromFile total,,
test_join_baseline,PASS,0.1163,0.3075,0.6270,1,8,9,1,cache_flush;total,,
test_join_baseline_full,PASS,0.0603,0.3075,0.6270,2,3,2,0,join;load,,
test_join_baseline_upstream,PASS,0.0591,0.3075,0.6270,7,10,1,0,join_time,,
test_join_tree,PASS,0.0025,0.3075,0.6270,34,42,10,13,[Table] loadFromFile total;preprocessing,,
test_join_tree_full,PASS,0.0027,0.3075,0.6270,40,52,12,13,[Table] loadFromFile total;preProcessing,,
test_join_tree_upstream,PASS,0.0025,0.3075,0.6270,41,37,9,13,[JoinTree] total build;[Table] loadFromFile total,,
test_rr_access_tree,PASS,0.0044,0.3075,0.6270,34,38,11,13,[Index] preProcessing;build_rr_access_tree,,
test_rr_access_tree_full,PASS,0.0028,0.3075,0.6270,37,45,11,13,[JoinTree] total build;[Table] loadFromFile total,,
test_rr_access_tree_upstream,PASS,0.0044,0.3075,0.6270,35,37,9,13,[Index] preProcessing;[JoinTree] total build;[Table] loadFromFile total,,
test_unordered_map,PASS,0.2286,0.3075,0.6270,0,1,2,0,insert,,
test_unordered_map_full,PASS,1.8296,0.3075,0.6270,2,5,0,0,,,
test_unordered_map_upstream,PASS,1.4981,0.3075,0.6270,0,0,0,0,,,
